French,English
partie,part
histoire,history
chercher,search
police,police
pensais,thought
genre,kind
mois,month
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
pendant,while
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
affaire,case
donner,give
donné,given
corps,body
endroit,place
façon,way
écoute,listen
dont,whose
premier,first
perdu,lost
côté,side
vieux,old
sois,be
tiens,here
matin,morning
venu,came
pardon,sorry
venez,come
vers,towards
minutes,minutes
mis,placed
belle,beautiful
aimerais,would like to
mari,husband
enfin,finally
espère,hope
eau,water
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
filles,girls
jouer,to play
bureau,office
